"","Player","Matches","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","faceoffs_Lost","Puck_Recovery","penalty_Taken","penalty_Given","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","zone_entry_Target","Mean_x","Mean_y","Position","Rating"
"19","Audra Richards",4,0,1,0,7,0,6,9,3,2,4,10,0,14,14,2,19,7,18,9,26,27,20,5,2,1,51,1,3,5,9,12,0,0,104.614942528736,56.3103448275862,"Offensive",3.36963683771391
"20","Meaghan Pezon",4,0,0,0,4,1,3,2,5,1,4,4,0,8,8,1,11,7,40,18,18,58,8,0,2,3,44,0,1,9,6,4,0,0,105.196202531646,34.6518987341772,"Offensive",3.61583043999792
"21","Kayla Friesen",3,0,0,1,12,0,10,11,5,7,12,11,1,22,23,1,23,6,23,13,29,36,15,1,31,30,60,2,0,11,10,3,1,0,104.659192825112,42.372197309417,"Offensive",7.11359984835511
"22","Nicole Guagliardo",2,0,0,0,6,0,1,1,2,4,6,1,2,5,7,0,9,4,12,10,13,22,8,0,0,0,24,2,0,2,6,2,1,0,120.988505747126,35.4942528735632,"Offensive",3.7508691097506
"23","Erin Gehen",6,0,1,0,10,1,6,10,5,3,7,11,2,16,18,0,35,9,47,20,44,67,33,3,0,0,83,2,1,14,20,13,2,0,121.314381270903,40.9933110367893,"Offensive",4.28587932593293
"24","Jordan Juron",6,2,2,2,12,0,11,18,8,3,9,20,5,24,29,1,25,17,46,30,42,76,27,1,49,73,95,0,1,21,23,12,2,0,111.087301587302,42.9470899470899,"Offensive",5.93586715411925
"25","Janine Weber",4,5,0,0,15,2,7,17,8,4,12,17,1,28,29,0,18,7,27,21,25,48,16,2,8,6,56,2,2,8,12,6,2,0,134.271028037383,42.7429906542056,"Offensive",5.20294616112741
"26","Emma Vlasic",4,1,1,2,6,0,5,8,5,2,6,9,2,13,15,1,13,9,39,19,22,58,16,2,45,33,62,1,1,12,8,5,0,0,102.753036437247,39.9635627530364,"Offensive",5.86854064731022
"27","Katelynn Russ",4,1,2,1,12,0,10,21,3,2,12,14,5,21,26,2,22,8,28,12,30,40,17,2,6,5,56,2,0,11,13,8,0,0,127.18779342723,52.2723004694836,"Offensive",5.04397808664517
"28","Alyssa Wohlfeiler",4,1,0,1,11,1,10,12,3,9,9,15,3,21,24,1,20,7,62,25,27,87,7,1,0,0,52,3,1,8,24,2,0,0,131.182203389831,33.1186440677966,"Offensive",6.35264048076293
"29","Autumn MacDougall",6,1,1,0,9,0,7,11,2,5,7,11,1,17,18,3,36,12,51,20,48,71,22,6,0,2,77,0,4,7,17,13,3,0,122.445614035088,35.3964912280702,"Offensive",3.96275700570548
"30","Brooke Stacey",6,1,3,0,14,0,6,10,6,8,11,13,9,15,24,0,25,10,44,14,35,58,13,2,3,5,55,0,1,7,19,5,2,0,111.713004484305,37.5291479820628,"Offensive",3.03893123712665
"31","Kayla Meneghin",3,0,0,0,1,1,0,2,0,0,0,2,0,2,2,0,10,7,10,2,17,12,4,1,5,9,17,4,1,2,9,1,0,0,102.905405405405,57.1081081081081,"Offensive",0.746932201640032
"32","Grace Klienbach",4,0,0,0,3,0,5,3,2,3,5,3,0,8,8,0,10,2,17,5,12,22,9,1,0,0,26,1,1,4,4,7,0,0,116.606382978723,54.5957446808511,"Offensive",1.29488999799961
"33","Sarah Schwenzfeier",4,1,1,0,5,0,5,6,1,5,6,6,1,11,12,0,15,8,11,12,23,23,14,2,25,23,48,0,0,11,11,3,0,0,105.075581395349,44.9186046511628,"Offensive",3.12742250140826
"34","Kaycie Anderson",4,0,2,0,9,0,3,5,6,3,4,10,1,13,14,1,15,6,11,7,21,18,11,0,1,1,38,2,0,3,8,3,0,0,109.225,35.5916666666667,"Offensive",1.84770871071112
"35","Maddie Bishop",4,0,0,0,2,0,2,2,1,1,3,1,0,4,4,0,9,2,11,2,11,13,4,0,0,1,15,0,0,5,5,2,0,0,117.525423728814,27.2881355932203,"Offensive",0.0947541648209171
"36","Amanda Conway",4,1,1,0,4,1,3,5,2,3,3,7,1,9,10,1,13,4,10,8,17,18,4,0,0,1,24,0,0,3,8,2,0,0,122.735632183908,48.4367816091954,"Offensive",0.906166218384443
"37","Iveta Klimasova",6,0,1,1,8,0,2,7,2,3,6,6,1,11,12,0,15,14,20,9,29,29,11,2,1,2,49,2,0,5,9,7,0,0,108.525641025641,28.6987179487179,"Offensive",1.33532682524721
"38","Mackenzie Lancaster",3,0,0,0,7,0,4,8,1,2,3,8,0,11,11,0,12,4,26,14,16,40,9,1,9,19,38,0,0,3,13,2,2,0,114.527777777778,42.0902777777778,"Offensive",4.44151129897464
"39","Kristin Lewicki",6,1,2,1,13,1,3,10,7,4,5,16,2,19,21,2,26,13,50,32,39,82,24,2,1,2,84,0,1,17,24,12,1,0,123.517799352751,49.8834951456311,"Offensive",4.75353514029593
"40","Brittany Colton",6,0,0,0,3,0,2,2,1,2,3,2,1,4,5,0,5,3,9,9,8,18,10,1,1,7,30,0,0,5,9,5,0,0,103.25,53.8913043478261,"Offensive",0.27975441877674
"41","Cassidy MacPherson",6,0,2,1,8,0,8,11,3,5,10,9,1,18,19,0,25,15,57,26,40,83,24,2,38,49,92,0,0,20,25,5,0,0,103.948275862069,39.4597701149425,"Offensive",5.3800588924848
"42","Shiann Darkangelo",6,1,1,1,15,0,18,22,6,8,22,14,3,33,36,0,36,27,111,43,63,154,21,4,79,46,141,5,0,23,24,9,4,0,126.113676731794,45.1634103019538,"Offensive",10
"43","Madison Packer",3,0,0,3,6,0,6,10,3,2,9,6,3,12,15,0,17,7,51,23,24,74,12,1,1,7,56,2,2,15,13,5,2,0,113.359090909091,49.2318181818182,"Offensive",8.09663388304266
"44","Emma Woods",4,0,0,6,11,0,11,16,5,7,15,13,8,20,28,0,18,8,73,26,26,99,17,3,0,0,54,0,3,12,16,10,2,0,119.011235955056,52.2059925093633,"Offensive",7.67803802494549
"45","Emily Janiga",3,1,0,0,5,1,1,4,2,2,2,6,0,8,8,1,10,9,20,10,19,30,8,0,17,35,36,1,2,13,11,2,1,0,104.503401360544,45.4897959183673,"Offensive",3.92429629838534
"46","Kelly Babstock",3,1,0,3,5,0,5,9,4,1,10,4,0,14,14,0,10,6,23,11,16,34,5,1,24,31,35,3,0,9,17,1,0,0,124.792452830189,46.5345911949686,"Offensive",4.95489906111642
"47","Breanne Wilson-Bennett",6,2,0,1,15,0,13,17,8,6,10,21,1,30,31,2,22,13,50,45,35,95,21,0,45,32,107,1,9,25,22,4,3,0,126.194373401535,41.3222506393862,"Offensive",6.54317624361762
"48","Kendall Cornine",3,0,0,3,4,0,4,4,3,4,4,7,1,10,11,0,6,9,17,14,15,31,16,4,15,11,46,1,1,5,11,10,0,0,106.430303030303,49.4060606060606,"Offensive",4.923882450415
"49","Paige Voight",3,0,0,0,3,0,2,1,2,2,4,1,0,5,5,0,12,9,17,12,21,29,15,0,1,0,36,0,0,8,6,3,0,0,104.088709677419,54.1129032258064,"Offensive",3.17106267894076
"50","Natalie Marcuzzi",6,2,1,0,16,1,11,16,7,8,11,20,2,29,31,0,29,8,37,28,37,65,30,5,13,15,90,1,3,23,18,13,2,0,113.384146341463,36.1524390243902,"Offensive",5.00344673354229
"51","Mallory Rushton",3,0,0,0,5,0,5,6,3,1,8,2,1,9,10,1,11,7,17,16,18,33,3,2,1,1,30,0,0,3,8,1,0,0,120.509090909091,23.0272727272727,"Offensive",3.19490832547835
"52","Theresa Knutson",3,0,0,1,8,0,7,9,1,6,6,10,0,16,16,1,7,3,26,10,10,36,4,1,2,1,32,0,2,5,11,2,1,0,127.826446280992,56.3471074380165,"Offensive",3.85797768285195
"53","Taytum Clairmont",6,1,0,1,8,0,3,7,3,3,6,7,3,10,13,1,13,14,56,26,27,82,10,4,18,10,67,0,1,11,16,7,2,0,128.391472868217,50.2441860465116,"Offensive",3.85885283741403
"54","Julie Allen",6,0,0,0,3,0,0,2,1,0,0,3,1,2,3,0,9,11,13,19,20,32,11,1,6,9,32,2,0,10,2,2,2,0,105.268292682927,48.4959349593496,"Offensive",0.650189197174752
"55","Rebecca Russo",3,0,1,3,1,0,2,4,2,1,3,4,1,6,7,1,10,8,28,13,18,41,10,2,2,2,45,0,0,5,4,5,0,0,112.821428571429,44.4428571428571,"Offensive",4.20666374164867
"56","Kate Leary",3,0,0,1,6,0,3,5,1,4,5,5,0,10,10,0,11,2,39,15,13,54,16,2,0,0,51,0,2,5,17,4,0,0,125.401162790698,35.8837209302326,"Offensive",6.02510850028342
"57","Emily Fluke",6,0,1,0,6,0,4,3,2,6,4,7,2,9,11,1,15,2,20,14,17,34,19,1,4,3,44,2,3,8,8,9,0,0,122.367088607595,40.6012658227848,"Offensive",1.5368112622665
"58","Mikyla Grant-Mentis",6,1,2,1,18,1,26,26,11,12,28,21,5,44,49,5,28,16,80,24,44,104,16,3,19,16,102,3,0,19,46,10,2,0,128.542654028436,41.8554502369668,"Offensive",7.67231412036964
"59","Sarah-Eve Coutu Godbout",6,2,0,3,18,4,15,26,6,10,15,27,1,41,42,1,30,8,41,15,38,56,12,5,2,0,70,1,2,13,22,11,1,0,133.441605839416,44.4598540145985,"Offensive",4.08045556735598
"60","Amy Curlew",6,1,0,1,3,1,3,5,0,4,7,2,1,8,9,1,6,3,24,15,9,39,9,2,4,3,32,2,4,4,9,3,0,0,132.20325203252,37.1788617886179,"Offensive",1.09626205561839
"61","Mackenzie MacNeil",6,0,2,0,8,1,15,16,7,3,10,16,2,24,26,2,21,11,23,24,32,47,22,5,1,2,78,0,1,15,29,12,1,0,135.4,46.9074074074074,"Offensive",3.94910839403567
"62","Brooke Boquist",4,0,0,2,7,0,18,14,3,10,21,6,0,27,27,2,21,10,54,17,31,71,7,3,2,3,48,2,2,3,11,3,0,0,143.009523809524,42.1428571428571,"Offensive",5.50213391095689
"63","Taylor Wasylk",4,1,0,0,10,0,4,10,4,1,6,9,2,13,15,0,13,6,16,12,19,28,17,1,6,20,41,4,1,5,9,3,0,0,110.081081081081,45.722972972973,"Offensive",2.90312836674547
"64","Rachael Ade",1,0,0,1,2,0,1,2,0,2,2,2,0,4,4,0,0,2,2,4,2,6,1,1,0,1,11,0,0,2,2,1,0,0,101.066666666667,53.6666666666667,"Offensive",2.27436567345204
"65","Maeve Reilly",1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,2,1,1,2,3,3,2,1,0,0,3,0,0,1,1,1,0,0,114.75,17.875,"Offensive",0
"66","Sarah Hughson",1,1,0,0,1,0,0,0,2,0,0,2,0,2,2,0,2,0,2,0,2,2,0,1,3,6,3,0,0,2,0,1,0,0,135,35.875,"Offensive",0.0515064113162012
