"","Player","Matches","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","faceoffs_Lost","Puck_Recovery","penalty_Taken","penalty_Given","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","zone_entry_Target","Mean_x","Mean_y","Position","Rating"
"22","Dominique Kremer",6,0,1,0,7,0,8,5,7,4,10,6,2,14,16,0,28,30,56,43,58,99,33,3,0,0,134,2,1,29,15,16,1,88,77.0369458128079,56.5812807881773,"Defensive",5.66778539808212
"23","Maggie LaGue",4,0,0,2,10,0,10,8,4,10,15,7,1,21,22,0,29,14,60,29,43,89,12,2,0,0,108,0,1,16,9,3,0,60,72.4210526315789,42.2960526315789,"Defensive",6.87109707338136
"24","Elena Orlando",4,0,0,0,5,0,1,2,4,0,5,1,0,6,6,0,12,20,25,20,32,45,16,4,0,0,76,1,0,7,2,1,1,32,59.8900523560209,23.5235602094241,"Defensive",3.3712527381957
"25","Hunter Accursi",6,0,0,0,6,0,1,5,0,2,2,5,0,7,7,0,11,3,7,12,14,19,11,0,3,11,34,1,0,3,6,3,0,0,99.9108910891089,35.5643564356436,"Defensive",0.787012643352529
"26","Taylor Marchin",4,0,1,4,3,0,2,4,3,3,8,2,0,10,10,0,21,18,30,18,39,48,18,3,0,0,74,0,1,9,1,2,0,58,60.8039215686275,56.8774509803922,"Defensive",3.86818314931874
"27","Megan Delay",6,0,0,0,7,0,7,2,6,6,13,1,1,13,14,0,23,19,27,17,42,44,28,0,0,0,92,2,2,14,3,4,0,33,66.6090534979424,51.6213991769547,"Defensive",2.60889304447564
"28","Neve Van Pelt",5,0,0,0,3,0,3,2,2,2,3,3,0,6,6,0,12,7,16,5,19,21,14,0,13,28,38,0,0,9,5,5,0,0,88.6692307692308,46.4,"Defensive",1.69914978715717
"29","Hanna Beattie",4,0,0,1,4,1,5,4,2,5,6,5,1,10,11,0,19,24,29,23,43,52,21,4,0,0,98,0,0,15,5,4,1,34,78.5,31.3307086614173,"Defensive",4.5458722625881
"30","Lenka Curmova",6,1,1,4,7,0,2,5,4,6,11,4,0,15,15,0,18,23,29,21,41,50,18,2,0,0,88,5,2,21,4,4,0,49,68.2056451612903,33.9475806451613,"Defensive",3.1308740156897
"31","Emma Greco",6,0,0,3,9,0,5,7,5,5,13,4,1,16,17,0,28,31,31,36,59,67,29,1,0,0,117,2,1,14,4,5,2,70,66.8328075709779,29.8328075709779,"Defensive",3.73660184947997
"32","Sammy Kolowrat",3,0,0,2,1,0,2,0,2,3,5,0,1,4,5,0,12,26,24,22,38,46,24,3,0,0,82,0,0,8,3,11,0,34,58.6863636363636,35.3181818181818,"Defensive",5.06985705233571
"33","Kiira Dosdall",3,0,0,7,2,0,8,12,1,4,16,1,4,13,17,0,17,17,58,33,34,91,13,3,0,0,88,0,0,8,5,6,1,37,70.1842105263158,49.5488721804511,"Defensive",9.02296778805229
"34","Sarah Steele",6,0,0,5,3,0,9,5,4,8,15,2,5,12,17,0,36,19,112,46,55,158,10,1,0,0,141,1,0,11,3,6,2,64,74.3185185185185,34.0938271604938,"Defensive",6.97927645375814
"35","Megan Quinn",6,0,1,4,8,0,2,5,4,6,11,4,0,15,15,1,20,26,63,44,46,107,28,2,0,0,137,2,1,11,0,11,0,76,64.9888888888889,55.4166666666667,"Defensive",5.19804204795087
"36","Jayne Lewis",3,0,0,0,1,0,2,2,0,1,2,1,1,2,3,0,6,5,6,4,11,10,6,0,0,1,12,0,0,0,1,1,0,0,81.6136363636364,64.5681818181818,"Defensive",0.611555281190303
"37","Leila Kilduff",3,0,0,1,2,0,2,2,1,2,5,0,0,5,5,2,9,11,26,21,20,47,8,1,0,0,40,0,0,15,2,4,0,34,56.7430555555556,43.4930555555556,"Defensive",5.05874713060075
"38","Lindsay Eastwood",6,0,4,8,10,0,14,8,15,13,31,5,8,28,36,1,44,26,104,46,70,150,20,4,0,0,152,2,0,17,7,5,2,65,77.3927038626609,29.6351931330472,"Defensive",7.51312595225835
"39","Rebecca Morse",3,0,0,8,3,0,8,4,2,13,15,4,2,17,19,0,9,15,41,22,24,63,17,1,0,0,72,3,0,13,6,8,0,35,77.3672566371681,36.5088495575221,"Defensive",7.23124787063186
"40","Taylor Woods",6,0,1,10,15,0,16,10,12,20,33,9,2,40,42,4,29,17,108,49,46,157,29,2,2,1,175,5,2,14,16,12,2,42,86.602766798419,51.4822134387352,"Defensive",8.08468120810961
"41","Allie Olnowich",3,0,0,1,6,1,2,4,2,4,6,4,2,8,10,0,2,5,10,13,7,23,9,1,0,0,31,0,0,5,1,2,0,30,60.7191011235955,55.6741573033708,"Defensive",2.43744445583769
"42","Kristen Barbara",4,0,0,2,3,0,2,2,2,3,5,2,0,7,7,0,16,7,46,18,23,64,4,0,0,0,60,1,0,9,4,2,0,24,76.2011494252874,49.4885057471264,"Defensive",4.31458047867762
"43","Saroya Tinker",3,0,0,5,1,0,1,1,0,6,6,1,1,6,7,0,3,13,20,26,16,46,13,5,0,0,56,0,0,5,0,1,1,32,54.8066666666667,33.5333333333333,"Defensive",4.50255857425107
"44","Brooke Avery",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,13,9,6,22,5,1,1,2,14,0,0,2,1,2,1,0,92.9454545454546,36.0909090909091,"Defensive",1.63899477349131
"45","Cailey Hutchison",3,0,0,0,1,0,3,2,1,1,3,1,0,4,4,1,7,6,7,8,13,15,6,1,18,11,21,1,2,8,1,0,1,0,89.1666666666667,44.5333333333333,"Defensive",2.53551252824062
"46","Briana Mastel",5,0,0,2,4,0,7,2,4,7,11,2,0,13,13,0,14,19,41,28,33,69,15,3,0,0,102,1,1,6,2,0,0,45,61.577868852459,28.4877049180328,"Defensive",3.8475610078891
"47","Laurel Hill",2,0,0,0,2,0,1,1,1,1,2,1,0,3,3,0,6,9,11,3,15,14,2,0,0,0,26,1,0,2,0,1,0,14,52.0625,49.796875,"Defensive",1.83843191007411
"48","Lisa Chesson",3,0,1,0,4,0,4,1,5,3,7,2,1,8,9,1,12,17,26,20,29,46,11,0,0,0,62,2,0,8,3,1,0,34,69.6337209302326,50.3255813953488,"Defensive",4.71221766866027
