"","Player","Event","N"
"61","Iveta Klimasova","Puck Recovery",49
"62","Kristin Lewicki","Puck Recovery",84
"63","Hanna Beattie","Puck Recovery",98
"64","Nicole Guagliardo","Puck Recovery",24
"65","Kayla Friesen","Puck Recovery",60
"66","Jordan Juron","Puck Recovery",95
"67","Kaycie Anderson","Puck Recovery",38
"68","Erin Gehen","Puck Recovery",83
"69","Neve Van Pelt","Puck Recovery",38
"70","Kayla Meneghin","Puck Recovery",17
"71","Cassidy MacPherson","Puck Recovery",92
"72","Lenka Curmova","Puck Recovery",88
"73","Hunter Accursi","Puck Recovery",34
"74","Brittany Colton","Puck Recovery",30
"75","Maddie Bishop","Puck Recovery",15
"76","Emma Greco","Puck Recovery",117
"77","Sonjia Shelly","Puck Recovery",15
"78","Emma Woods","Puck Recovery",54
"79","Kiira Dosdall","Puck Recovery",88
"80","Emily Janiga","Puck Recovery",36
"81","Sarah Steele","Puck Recovery",141
"82","Kelly Babstock","Puck Recovery",35
"83","Lindsay Eastwood","Puck Recovery",152
"84","Kendall Cornine","Puck Recovery",46
"85","Natalie Marcuzzi","Puck Recovery",90
"86","Taylor Woods","Puck Recovery",175
"87","Rebecca Morse","Puck Recovery",72
"88","Theresa Knutson","Puck Recovery",32
"89","Breanne Wilson-Bennett","Puck Recovery",107
"90","Elaine Chuli","Puck Recovery",33
"91","Kristen Barbara","Puck Recovery",60
"92","Rebecca Russo","Puck Recovery",45
"93","Madison Packer","Puck Recovery",56
"94","Julie Allen","Puck Recovery",32
"95","Emily Fluke","Puck Recovery",44
"96","Megan Quinn","Puck Recovery",137
"97","Mallory Rushton","Puck Recovery",30
"98","Saroya Tinker","Puck Recovery",56
"99","Allie Olnowich","Puck Recovery",31
"100","Sarah-Eve Coutu Godbout","Puck Recovery",70
"101","Kate Leary","Puck Recovery",51
"102","Mikyla Grant-Mentis","Puck Recovery",102
"103","Brooke Avery","Puck Recovery",14
"104","Sammy Kolowrat","Puck Recovery",82
"105","Mackenzie MacNeil","Puck Recovery",78
"106","Leila Kilduff","Puck Recovery",40
"107","Brooke Boquist","Puck Recovery",48
"108","Shiann Darkangelo","Puck Recovery",141
"109","Taytum Clairmont","Puck Recovery",67
"110","Amy Curlew","Puck Recovery",32
"111","Paige Voight","Puck Recovery",36
"112","Jayne Lewis","Puck Recovery",12
"113","Cailey Hutchison","Puck Recovery",21
"114","Victoria Hanson","Puck Recovery",12
"115","Brooke Wolejko","Puck Recovery",11
"116","Tera Hofmann","Puck Recovery",13
"117","Samantha Ridgewell","Puck Recovery",10
"118","Briana Mastel","Puck Recovery",102
"119","Laurel Hill","Puck Recovery",26
"120","Taylor Wasylk","Puck Recovery",41
"121","Lisa Chesson","Puck Recovery",62
"122","Caty Flagg","Puck Recovery",1
"123","Rachael Ade","Puck Recovery",11
"124","Sarah Hughson","Puck Recovery",3
"125","Maeve Reilly","Puck Recovery",3
"126","Mariah Fujimagari","Puck Recovery",4
