"","period_id","shot_type_Deflection","shot_type_Fan","shot_type_Slapshot","shot_type_Snapshot","shot_type_Wrap_Around","shot_type_Wrist_Shot","shot_dest_On_Net","shot_dest_Missed","shot_dest_Blocked","shot_traffic_TRUE","shot_traffic_FALSE","shot_one_timer_TRUE","shot_one_timer_FALSE","Unsuccessful_Shots","Goals","incompelete_play_Direct","incompelete_play_Indirect","complete_play_Direct","complete_play_Indirect","incompelete_play_Total","complete_play_Total","dumps_Lost","dumps_Retained","faceoffs_Won","Puck_Recovery","penalty_Taken","Take_Away","zone_entry_Carried","zone_entry_Dumped","zone_entry_Played","Outcome"
"14","23-01-2021 - Buffalo Beauts - 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,8,3,3,0,1,12,0,0,4,0,0,"draw_lost"
"15","23-01-2021 - Toronto Six - 1",2,1,1,5,0,9,11,2,5,5,13,1,17,18,0,14,3,35,12,17,47,7,1,12,54,0,8,16,1,0,"draw_lost"
"16","23-01-2021 - Metropolitan Riveters - 1",1,0,1,3,0,6,6,3,2,3,8,0,11,11,0,14,8,28,11,22,39,7,3,4,47,2,9,8,3,1,"won"
"17","23-01-2021 - Toronto Six - 2",0,0,1,0,3,15,12,0,7,13,6,0,19,19,0,10,5,30,19,15,49,10,3,16,54,1,9,17,6,1,"draw_lost"
"18","23-01-2021 - Metropolitan Riveters - 2",0,1,0,2,0,5,5,1,2,6,2,0,8,8,0,13,2,22,11,15,33,5,0,5,28,1,3,12,1,0,"won"
"19","23-01-2021 - Metropolitan Riveters - 3",0,0,1,6,0,0,3,2,2,4,3,2,5,7,1,5,9,11,12,14,23,26,5,3,54,0,8,7,8,0,"won"
"20","23-01-2021 - Toronto Six - 3",1,0,1,5,0,6,10,1,2,10,3,0,13,13,0,10,5,34,22,15,56,7,5,13,48,0,7,11,5,1,"draw_lost"
"21","24-01-2021 - Buffalo Beauts - 1",1,1,0,6,0,0,5,1,2,1,7,1,7,8,1,13,6,19,3,19,22,8,0,7,26,1,10,11,4,0,"draw_lost"
"22","24-01-2021 - Boston Pride - 1",0,0,1,16,0,4,6,6,9,3,18,1,20,21,2,12,9,32,16,21,48,8,2,11,56,0,12,15,5,0,"won"
"23","24-01-2021 - Boston Pride - 2",0,1,2,15,0,2,10,4,6,13,7,5,15,20,3,14,2,39,8,16,47,6,0,12,51,0,3,16,3,1,"won"
"24","24-01-2021 - Buffalo Beauts - 2",0,1,2,3,0,3,3,2,4,7,2,2,7,9,0,11,2,19,8,13,27,8,3,7,29,1,5,10,4,0,"draw_lost"
"25","24-01-2021 - Buffalo Beauts - 3",0,1,1,8,0,1,6,3,2,0,11,1,10,11,0,14,11,18,12,25,30,7,1,6,40,0,5,12,5,2,"draw_lost"
"26","24-01-2021 - Boston Pride - 3",0,0,1,14,0,1,8,4,4,2,14,2,14,16,0,22,10,31,5,32,36,5,2,10,44,1,11,17,5,0,"won"
"27","24-01-2021 - Connecticut Whale - 1",2,0,0,15,0,3,5,4,11,11,9,1,19,20,2,10,7,33,14,17,47,8,1,11,41,1,6,15,6,2,"draw_lost"
"28","24-01-2021 - Metropolitan Riveters - 1",0,0,0,7,0,5,6,2,4,9,3,1,11,12,1,4,7,30,13,11,43,13,1,7,32,1,8,13,7,0,"won"
"29","24-01-2021 - Connecticut Whale - 2",0,0,0,6,1,14,14,3,4,9,12,1,20,21,1,14,8,21,17,22,38,9,0,14,46,1,10,9,3,0,"draw_lost"
"30","24-01-2021 - Metropolitan Riveters - 2",1,0,3,1,0,5,7,1,2,5,5,0,10,10,1,10,11,24,6,21,30,7,0,14,34,0,2,11,2,2,"won"
"31","24-01-2021 - Metropolitan Riveters - 3",0,0,1,9,0,0,5,2,3,4,6,0,10,10,1,14,9,30,18,23,48,17,2,11,62,1,8,15,4,0,"won"
"32","24-01-2021 - Connecticut Whale - 3",1,0,1,11,0,1,6,4,4,6,8,1,13,14,0,14,5,16,8,19,24,10,0,9,27,1,7,9,3,1,"draw_lost"
"33","24-01-2021 - Minnesota Whitecaps - 1",0,0,0,1,0,4,3,1,1,0,5,1,4,5,0,11,6,25,14,17,39,6,1,5,40,2,9,6,2,0,"draw_lost"
"34","24-01-2021 - Toronto Six - 1",0,0,1,0,0,9,7,0,3,6,4,1,9,10,2,19,10,47,19,29,66,8,0,9,44,1,6,13,3,0,"won"
"35","24-01-2021 - Toronto Six - 2",1,2,0,12,0,0,5,7,3,9,6,2,13,15,1,25,12,27,15,37,42,11,5,15,58,2,5,8,5,3,"won"
"36","24-01-2021 - Minnesota Whitecaps - 2",0,2,0,5,0,0,2,2,3,3,4,2,5,7,2,11,7,15,1,18,16,10,4,4,27,1,8,8,2,1,"draw_lost"
"37","24-01-2021 - Toronto Six - 3",0,0,3,2,1,12,5,5,8,13,5,2,16,18,0,16,7,32,16,23,48,6,0,9,45,1,8,13,3,1,"draw_lost"
"38","24-01-2021 - Minnesota Whitecaps - 3",0,0,0,1,0,6,4,1,2,3,4,0,7,7,2,11,6,25,7,17,32,8,0,3,36,1,8,8,4,1,"won"
"39","24-01-2021 - Minnesota Whitecaps - 4",0,1,0,2,0,0,1,1,1,2,1,0,3,3,0,1,2,1,2,3,3,1,0,1,9,0,0,3,0,0,"won"
"40","24-01-2021 - Toronto Six - 4",0,0,0,6,0,0,3,2,1,4,2,0,6,6,0,2,0,10,5,2,15,1,0,1,13,0,2,5,0,0,"draw_lost"
"41","26-01-2021 - Toronto Six - 1",1,0,0,4,0,12,8,5,4,1,16,1,16,17,0,21,9,31,10,30,41,11,0,5,42,1,17,10,5,1,"draw_lost"
"42","26-01-2021 - Boston Pride - 1",1,2,0,6,0,3,5,5,2,2,10,1,11,12,1,12,10,41,8,22,49,6,2,9,21,0,11,15,7,2,"won"
"43","26-01-2021 - Toronto Six - 2",0,0,1,15,1,9,14,5,7,18,8,1,25,26,0,10,5,35,14,15,49,9,0,7,55,0,7,13,3,0,"draw_lost"
"44","26-01-2021 - Boston Pride - 2",2,0,3,8,0,4,9,5,3,7,10,3,14,17,0,6,10,38,15,16,53,6,1,8,38,0,5,14,4,2,"won"
"45","26-01-2021 - Boston Pride - 3",0,2,1,7,0,2,8,3,1,5,7,2,10,12,0,12,5,30,13,17,43,8,2,7,41,0,6,9,4,0,"draw_lost"
"46","26-01-2021 - Toronto Six - 3",1,1,1,8,1,8,9,6,5,10,10,2,18,20,2,9,11,35,18,20,53,12,0,13,39,3,11,15,3,0,"won"
"47","26-01-2021 - Metropolitan Riveters - 1",0,0,3,6,0,2,7,2,2,6,5,3,8,11,0,12,6,39,24,18,63,6,1,8,40,0,7,10,3,1,"draw_lost"
"48","26-01-2021 - Minnesota Whitecaps - 1",1,0,0,5,1,2,8,1,0,4,5,0,9,9,0,7,6,19,3,13,22,11,0,7,26,0,9,9,6,0,"won"
"49","26-01-2021 - Minnesota Whitecaps - 2",0,0,0,4,1,9,11,1,2,12,2,2,12,14,0,15,2,34,15,17,49,6,2,5,45,0,7,10,5,0,"won"
"50","26-01-2021 - Metropolitan Riveters - 2",0,0,1,3,1,7,8,4,0,7,5,0,12,12,0,12,5,14,14,17,28,2,0,3,34,1,10,11,0,0,"draw_lost"
"51","26-01-2021 - Metropolitan Riveters - 3",0,0,4,6,0,5,5,4,6,7,8,0,15,15,0,10,3,40,15,13,55,6,1,8,36,1,13,11,5,0,"draw_lost"
"52","26-01-2021 - Minnesota Whitecaps - 3",0,1,1,9,1,5,10,4,3,2,15,3,14,17,1,12,6,27,8,18,35,9,1,4,32,1,15,16,2,0,"won"
"53","27-01-2021 - Connecticut Whale - 1",0,1,1,9,1,1,8,2,3,8,5,2,11,13,0,23,8,25,18,31,43,12,0,8,49,2,8,9,3,0,"draw_lost"
"54","27-01-2021 - Boston Pride - 1",1,1,0,9,0,0,5,1,5,8,3,1,10,11,1,12,9,30,10,21,40,14,1,11,45,0,6,15,6,0,"won"
"55","27-01-2021 - Connecticut Whale - 2",0,0,1,2,1,8,6,2,4,4,8,1,11,12,0,8,3,33,19,11,52,13,0,7,39,1,3,13,2,1,"draw_lost"
"56","27-01-2021 - Boston Pride - 2",1,1,0,3,0,5,6,3,1,3,7,1,9,10,0,15,5,34,17,20,51,8,1,12,45,2,7,11,2,2,"won"
"57","27-01-2021 - Boston Pride - 3",0,0,1,8,0,7,11,1,4,9,7,1,15,16,0,7,3,49,10,10,59,7,1,15,38,1,5,11,5,0,"draw_lost"
"58","27-01-2021 - Connecticut Whale - 3",1,0,1,7,0,11,14,4,2,9,11,3,17,20,3,6,4,25,17,10,42,16,0,9,44,3,3,6,3,0,"won"
"59","27-01-2021 - Toronto Six - 1",1,1,0,9,0,13,16,3,5,9,15,2,22,24,1,7,5,35,12,12,47,7,7,9,41,0,8,13,5,0,"draw_lost"
"60","27-01-2021 - Buffalo Beauts - 1",0,0,0,4,0,1,5,0,0,2,3,3,2,5,2,10,6,23,16,16,39,11,4,5,33,0,1,10,7,0,"won"
"61","27-01-2021 - Buffalo Beauts - 2",0,0,0,6,0,1,5,1,1,2,5,1,6,7,0,10,5,24,11,15,35,12,0,8,30,1,9,7,3,0,"draw_lost"
"62","27-01-2021 - Toronto Six - 2",0,0,3,6,0,7,13,2,1,7,9,3,13,16,0,8,3,32,13,11,45,22,1,15,43,1,11,10,9,2,"won"
"63","27-01-2021 - Buffalo Beauts - 3",1,0,0,6,0,3,6,1,3,5,5,1,9,10,0,16,7,19,9,23,28,8,2,8,37,1,5,7,4,0,"draw_lost"
"64","27-01-2021 - Toronto Six - 3",0,0,0,6,1,7,6,2,6,9,5,1,13,14,1,16,10,29,13,26,42,17,3,9,53,1,8,13,5,2,"won"
"65","30-01-2021 - Buffalo Beauts - 1",1,1,1,2,0,5,7,3,0,1,9,2,8,10,0,10,9,24,4,19,28,12,0,5,37,2,5,9,2,1,"draw_lost"
"66","30-01-2021 - Boston Pride - 1",2,0,1,5,0,13,7,6,8,5,16,1,20,21,0,11,8,36,14,19,50,13,1,7,53,1,4,9,3,3,"won"
"67","30-01-2021 - Boston Pride - 2",0,1,2,12,0,8,10,7,6,11,12,2,21,23,0,13,2,34,16,15,50,6,2,9,47,1,10,18,3,0,"won"
"68","30-01-2021 - Buffalo Beauts - 2",0,0,0,2,0,1,2,1,0,1,2,0,3,3,1,10,3,11,7,13,18,9,0,1,26,1,7,5,3,0,"draw_lost"
"69","30-01-2021 - Buffalo Beauts - 3",2,1,0,8,1,6,8,5,5,11,7,2,16,18,0,11,6,26,14,17,40,12,3,8,39,0,3,10,7,0,"won"
"70","30-01-2021 - Boston Pride - 3",0,0,1,4,1,12,9,2,7,12,6,1,17,18,0,9,5,28,3,14,31,12,4,11,41,3,7,9,4,0,"draw_lost"
"71","30-01-2021 - Toronto Six - 1",2,0,0,7,0,5,11,2,1,5,9,1,13,14,1,11,7,32,22,18,54,12,0,11,43,0,17,16,9,0,"won"
"72","30-01-2021 - Minnesota Whitecaps - 1",1,0,0,5,1,2,3,4,2,3,6,0,9,9,0,9,5,15,10,14,25,12,1,6,29,1,4,10,3,0,"draw_lost"
"73","30-01-2021 - Toronto Six - 2",0,1,1,17,0,0,12,4,3,10,9,3,16,19,0,22,3,29,19,25,48,16,1,12,50,1,6,7,5,0,"draw_lost"
"74","30-01-2021 - Minnesota Whitecaps - 2",0,0,0,6,0,0,4,1,1,2,4,0,6,6,2,13,8,26,6,21,32,10,1,2,29,0,4,6,3,0,"won"
"75","30-01-2021 - Minnesota Whitecaps - 3",0,0,1,4,0,12,9,4,4,5,12,0,17,17,1,7,3,27,17,10,44,8,1,4,33,1,3,15,5,2,"draw_lost"
"76","30-01-2021 - Toronto Six - 3",0,0,1,5,0,8,9,1,4,6,8,2,12,14,2,12,6,15,18,18,33,8,1,11,38,5,7,10,2,1,"won"
"77","31-01-2021 - Buffalo Beauts - 1",0,0,0,0,0,6,4,2,0,0,6,1,5,6,0,13,4,27,9,17,36,13,0,10,35,0,6,8,6,1,"won"
"78","31-01-2021 - Boston Pride - 1",1,0,0,0,1,10,6,4,2,4,8,1,11,12,0,15,4,24,14,19,38,5,2,10,41,0,9,18,4,0,"draw_lost"
"79","31-01-2021 - Boston Pride - 2",1,0,0,9,1,0,6,3,2,6,5,1,10,11,2,15,6,28,15,21,43,4,0,11,47,1,8,14,1,0,"won"
"80","31-01-2021 - Buffalo Beauts - 2",0,2,0,12,1,0,9,2,4,6,9,3,12,15,0,16,8,16,13,24,29,13,3,6,42,1,14,9,3,1,"draw_lost"
"81","31-01-2021 - Boston Pride - 3",0,0,1,3,0,6,4,3,3,3,7,0,10,10,1,15,5,43,16,20,59,2,2,8,39,0,12,18,2,1,"won"
"82","31-01-2021 - Buffalo Beauts - 3",1,0,0,8,0,6,6,5,4,4,11,2,13,15,0,12,5,21,8,17,29,9,1,6,40,1,5,7,3,1,"draw_lost"
"83","31-01-2021 - Toronto Six - 1",0,0,0,4,1,9,5,4,5,8,6,2,12,14,0,8,10,31,18,18,49,14,4,10,48,1,11,8,10,2,"draw_lost"
"84","31-01-2021 - Connecticut Whale - 1",0,1,2,3,0,1,4,1,2,4,3,2,5,7,0,12,3,24,18,15,42,13,2,5,36,2,8,8,6,0,"won"
"85","31-01-2021 - Connecticut Whale - 2",1,3,0,4,1,0,6,3,0,0,9,0,9,9,0,15,6,22,4,21,26,5,1,12,31,1,10,7,4,0,"draw_lost"
"86","31-01-2021 - Toronto Six - 2",1,1,1,14,0,1,8,8,2,1,17,4,14,18,1,18,15,34,19,33,53,6,2,7,57,0,9,14,7,2,"won"
"87","31-01-2021 - Toronto Six - 3",0,0,1,3,0,7,6,0,5,5,6,1,10,11,4,10,5,29,12,15,41,11,3,9,40,1,9,11,7,3,"won"
"88","31-01-2021 - Connecticut Whale - 3",1,0,0,2,0,8,9,2,0,2,9,1,10,11,0,15,3,12,3,18,15,13,2,12,29,1,7,11,6,0,"draw_lost"
"89","01-02-2021 - Boston Pride - 1",0,1,2,2,1,14,10,7,3,9,11,4,16,20,3,13,6,44,15,19,59,9,4,19,54,0,13,21,3,0,"won"
"90","01-02-2021 - Buffalo Beauts - 1",0,0,0,0,0,9,6,2,1,5,4,0,9,9,0,8,2,12,10,10,22,8,0,3,28,0,7,12,2,1,"draw_lost"
"91","01-02-2021 - Boston Pride - 2",1,0,0,10,0,0,5,3,3,5,6,0,11,11,1,4,3,29,11,7,40,13,2,13,35,2,13,14,4,0,"won"
"92","01-02-2021 - Buffalo Beauts - 2",0,1,0,4,0,2,2,2,3,6,1,1,6,7,1,17,2,23,12,19,35,7,0,4,29,0,0,9,5,0,"draw_lost"
"93","01-02-2021 - Boston Pride - 3",1,2,2,14,0,2,10,7,4,8,13,3,18,21,2,9,5,30,16,14,46,7,1,13,43,2,3,16,4,2,"won"
"94","01-02-2021 - Buffalo Beauts - 3",0,0,0,5,0,0,3,0,2,2,3,0,5,5,0,2,4,11,10,6,21,12,0,1,29,1,4,7,1,0,"draw_lost"
